Problem,Correct Confidence
Basic Problem B-01,1.0
Basic Problem B-02,1.0
Basic Problem B-03,1.0
Basic Problem B-04,0
Basic Problem B-05,1.0
Basic Problem B-06,1.0
Basic Problem B-07,0.1875
Basic Problem B-08,1.0
Basic Problem B-09,1.0
Basic Problem B-10,1.0
Basic Problem B-11,1.0
Basic Problem B-12,1.0
Challenge Problem B-01,0.16666666666666666
Challenge Problem B-02,0.16666666666666666
Challenge Problem B-03,0.16666666666666666
Challenge Problem B-04,0.16666666666666666
Challenge Problem B-05,0.16666666666666666
Challenge Problem B-06,0.16666666666666666
Challenge Problem B-07,0.16666666666666666
Challenge Problem B-08,0.16666666666666666
Challenge Problem B-09,0.16666666666666666
Challenge Problem B-10,0.16666666666666666
Challenge Problem B-11,0.16666666666666666
Challenge Problem B-12,0.16666666666666666
